word_id,words,definitions
1,A,prep. ti’. Dícelo a Juana : A’al ti’ X
2,A (para interrogar),prep. Tu ba
3,ABAJO,"adv. de l. Kaabal, yáanal. Mi zapato está debajo de mi hamaca: Yáanal in k’áan ti’aan in xanab."
4,ABANDONAR,v.t. P’aat
5,ABANICAR,"v.t. X pikit, pik’it iik’e’. Píipik."
6,ABANICO,sus. Pikit
7,ABARATAR,v.t. Yéemel u tojol.
8,"ABARCAR, RODEAR",v.t. Bak’ paach
9,ABDOMEN,sus. Nak’
10,ABEJA (APIS MELLIFICA Y MELIPONA SSP),"sus. Ko’olel kaab, kaab , xunáan kaab, yik’el kaab."
11,ABEJORRO,sus. Báalam kaab.
12,ABERTURA,"sus. Jool, jaatalil, teejelil, buu"
13,ABERTURA HONDA,sus. Jet’
14,ABIERTO EN FORMA DE BOCA,adv. Jáajaapan
15,ABISMO,sus. Julek’
16,ABOFETEAR,"v.t. Láaj, p’aak’láaj."
17,ABOFETEAR REPETIDAS VECES,"v.t. Máamaaláaj,"
18,ABOGADO,Sus. Aj k’ulel
19,ABOMINABLE,adj. P’etayenjal
20,ABORRECER,v.t. P’eek
21,ABORTO,sus. Éemel al
22,ABRAZAR,v.t. Méek’
23,ABRAZAR UNO AL CUELLO O DE LA CERVIS,v.t. Lóoch
24,ABRAZAR REPETIDAMENTE,v.t. Lóolóochbil.
25,ABRAZAR A CADA RATO,v.t. Méemek’ik.
26,ABRIGAR,"v.t. Teep’, to’owe, piixe’."
27,ABRIGO,sus. Chuk bo’oy.
28,ABRIR LOS OJOS,v.i. P’iil a wich
29,ABRIRSE,v.i. Xit’k’ajal.
30,ABRILLANTAR,v.t. Lelekuntal
31,ABRIR LA PUERTA,v.t. Je’.
32,ABRIR LAS PIERNAS,v.i. Jeech.
33,ABRIR VAINAS,v.t. P’eel.
34,ABRIR LA BOCA,v.i. Jaap
35,ABRIR UNA BOLSA,v.t. Xiit’.
36,ABRIR LOS PIES,v.i. Xaach.
37,ABRIR CAMINO,v.t. Jool.
38,ABRIR,v.i. Jet
39,ABRIR,v.t. Je’
40,ABRIRSE,v.i. Xíit’il
41,ABSORBER,"v.t. Xuuch, chu’uch"
42,ABSORBER CON FUERZA,v.t. Xúuxuuch.
43,ABUELA,sus. Chiich
44,ABUELO,"sus. Nool, taaten, nojoch taata."
45,A BUEN TIEMPO,"adv. de t. Tii’, tibilak"
46,ABUNDANCIA DE FRUTA EN EL ÁRBOL,adv. de c. Jíijiichki. chinki. ABUNDANTE. Adv. de c. Ch’éech’eeki.
47,ABUNDAR,v.i. Ya’abtal
48,ABURRIMIENTO,sus. Náak óol
49,ABURRIR,v.i. Náakal óol
50,ACÁ,"adv. de l. Waye’, weye’, way"
51,ACABA,adv. de t. Jach táant
52,ACABA DE SER,adv. de t. Je’lakito.
